"Country","Document","Year of Submission","Variable","Evidence"
"South Africa","BTR",2024,"HazardAction","[8669 • Action] • Research and innovation: The ARC together with academia and other research institutions in South Africa is investing in research and development to create climate-resilient crop varieties, livestock…"
"South Africa","BTR",2024,"HazardResult","[8685 • Result] Act No. 13 of 2023: National Veld and Forest Fire Amendment, Act 2023."
"South Africa","BTR",2024,"SystemPriority","[8657 • Adaptation priorities] Intervention 5 of the NCCAS aims to “promote research application, technology development, transfer and adoption to support planning and implementation” to deliver “increased research output and techn…"
"South Africa","BTR",2024,"SystemAction","[8507 • Action] The National Climate Change Adaptation Strategy (NCCAS) serves as the country’s National Adaptation Plan (NAP). It outlines a vision for adapting to and building climate resilience against climate cha…"
"South Africa","BTR",2024,"SystemResult","[8673 • Result] • Draft Conservation Agriculture Policy (2022): To promote and establish ecologically and economically sustainable agricultural systems to increase food security. The draft Conservation Agriculture Po…"
"Spain","BTR",2024,"HazardSystem","[7083 • System at risk] Climate change alters the behavior and distribution of species, affecting the the risk of forest fires, affecting air quality. Furthermore, climate change favors stable atmospheric conditions that hin…"
"Spain","BTR",2024,"HazardPriority",NA
"Spain","BTR",2024,"HazardAction",NA
"Spain","BTR",2024,"HazardResult",NA
"Spain","BTR",2024,"SystemPriority","[7113 • Adaptation priorities] A gender perspective"
"Spain","BTR",2024,"SystemAction","[7117 • Action] To facilitate monitoring the implementation of the measures contained in the Work Programs, a system of tracking sheets has been developed that allows for the structured collection of all relevant inf…"
"Spain","BTR",2024,"SystemResult",NA
"Sweden","BTR",2024,"HazardSystem","[4656 • System at risk] Göta River, the largest river in Sweden, with its surrounding river basin is very vulnerable to erosion and landslides. In the past, catastrophic events have occurred along the river. As the risk of l…"
"Sweden","BTR",2024,"HazardPriority",NA
"Sweden","BTR",2024,"HazardAction",NA
"Sweden","BTR",2024,"HazardResult",NA
"Sweden","BTR",2024,"SystemPriority",NA
"Sweden","BTR",2024,"SystemAction",NA
"Sweden","BTR",2024,"SystemResult",NA
"Tajikistan","BTR",2024,"HazardSystem","[5507 • System at risk] Tajikistan’s industrial sector, and especially mining activities, are vulnerable to geological phenomena such as landslides, earthquakes and rockfalls, as well as hydrometeorological phenomena such as…"
"Tajikistan","BTR",2024,"HazardPriority","[5514 • Adaptation priorities] To develop drought monitoring and early warning systems, the Hydrometeorology Agency of the Committee for Environmental Protection under the Government of the Republic Tajikistan is preparing measures…"
"Tajikistan","BTR",2024,"HazardAction",NA
"Tajikistan","BTR",2024,"HazardResult",NA
"Tajikistan","BTR",2024,"SystemPriority","[5514 • Adaptation priorities] To develop drought monitoring and early warning systems, the Hydrometeorology Agency of the Committee for Environmental Protection under the Government of the Republic Tajikistan is preparing measures…"
"Tajikistan","BTR",2024,"SystemAction",NA
"Tajikistan","BTR",2024,"SystemResult",NA
"Thailand","BTR",2024,"HazardSystem","[8256 • System at risk] In recent years, storms, droughts, and floods have damaged thousands of square kilometers of agricultural land, causing significant financial losses. Storms affected 1,178.91 km² in 2022, droughts aff…"
"Thailand","BTR",2024,"HazardPriority","[8282 • Adaptation priorities] How to capture Table 4.2 in Thailand's BTR?"
"Thailand","BTR",2024,"HazardAction","[8286 • Action] Flood and Inundation Management: Seeks to mitigate damages from floods and climate change by improving 1,978.14 km of waterways, protecting 380 urban areas, managing 13 flood-prone zones, supporting e…"
"Thailand","BTR",2024,"HazardResult","[8313 • Result] Thailand has adopted the Payment for Ecosystem Services (PES) principle to assign economic value to the country’s natural resources. This initiative benefits communities responsible for conserving pro…"
"Thailand","BTR",2024,"SystemPriority","[8253 • Adaptation priorities] NAP identified 6 priority areas: water resources management, agriculture and food security, tourism, public health, natural resources management, and human settlements and security"
"Thailand","BTR",2024,"SystemAction","[8283 • Action] 20-year Master Plan on Water Resources Management (Phase 1 Adjustment, 2023–2037)"
"Thailand","BTR",2024,"SystemResult","[8313 • Result] Thailand has adopted the Payment for Ecosystem Services (PES) principle to assign economic value to the country’s natural resources. This initiative benefits communities responsible for conserving pro…"
"Tunisia","BTR",2024,"HazardSystem",NA
"Tunisia","BTR",2024,"HazardPriority","[7141 • Adaptation priorities] Strengthen the disease surveillance climate-sensitive and develop early detection capacity and early warning of phenomena with potential epidemic"
"Tunisia","BTR",2024,"HazardAction",NA
"Tunisia","BTR",2024,"HazardResult",NA
"Tunisia","BTR",2024,"SystemPriority","[7138 • Adaptation priorities] Strengthening the adaptation capacities of tourism stakeholders through knowledge development, education and training."
"Tunisia","BTR",2024,"SystemAction",NA
"Tunisia","BTR",2024,"SystemResult",NA
"Türkiye","BTR",NA,"HazardSystem","[7842 • System at risk] the water resources in Türkiye are highly vulnerable to climate change impacts, particularly drought and heavy precipitation. The findings from the vulnerability and risk assessment show that drought …"
"Türkiye","BTR",NA,"HazardPriority","[7896 • Adaptation priorities] A central feature is the preparation of Local Climate Change Action Plans for pilot cities, which include strategies to mitigate climate-related risks such as floods and heatwaves, directly contributi…"
"Türkiye","BTR",NA,"HazardAction","[7919 • Action] To address the increasing frequency and severity of droughts, Türkiye has developed Drought Management Plans for all 25 river basins. These plans, launched by DGWM and completed in 2023, provide a com…"
"Türkiye","BTR",NA,"HazardResult","[7927 • Result] Complementing this effort, Flood Management Plans have been developed for all 25 basins, focusing on minimizing flood impacts through legal frameworks and detailed flood hazard maps. Flood hazard and …"
"Türkiye","BTR",NA,"SystemPriority","[7898 • Adaptation priorities] This project supports Türkiye's national priorities by focusing on key areas such as water management, disaster risk reduction, and sustainable urban development."
"Türkiye","BTR",NA,"SystemAction","[7899 • Action] This project supports Türkiye's national priorities by focusing on key areas such as water management, disaster risk reduction, and sustainable urban development."
"Türkiye","BTR",NA,"SystemResult","[7909 • Result] One of the most comprehensive initiatives in this regard is the Climate Change Impact on Water Resources Project, launched by DGWM in 2013 and completed in 2016. This project assesses the impact of cl…"
"USA","BTR",NA,"HazardSystem","[7408 • System at risk] Critical ocean habitats, like California’s kelp forests and Florida’s coral reefs, have declined by 90 percent in less than 10 years due to above normal ocean temperatures and increased ocean acidific…"
"USA","BTR",NA,"HazardPriority",NA
"USA","BTR",NA,"HazardAction",NA
"USA","BTR",NA,"HazardResult",NA
"USA","BTR",NA,"SystemPriority",NA
"USA","BTR",NA,"SystemAction",NA
"USA","BTR",NA,"SystemResult",NA
"Uruguay","BTR",2024,"HazardSystem","[7204 • System at risk] During the summer seasons, significant droughts occur in the country, often intensified by the La Niña phenomenon, affecting the agricultural and livestock sectors, both of great importance in the Uru…"
"Uruguay","BTR",2024,"HazardPriority",NA
"Uruguay","BTR",2024,"HazardAction","[7166 • Action] From the beginning of 2023 to the present, the Uruguayan Institute of Meteorology (INUMET) issued 181,592 weather warnings, of which 0.17% correspond to red warnings and 29.31% to orange. Of these war…"
"Uruguay","BTR",2024,"HazardResult",NA
"Uruguay","BTR",2024,"SystemPriority","[7223 • Adaptation priorities] Reduce the impacts of climate change on socio-ecological systems; reducing losses and damages in the various productive areas and sectors, through the implementation of climate change adaptation actio…"
"Uruguay","BTR",2024,"SystemAction",NA
"Uruguay","BTR",2024,"SystemResult",NA
"Uzbekistan","BTR",2024,"HazardSystem","[7243 • System at risk] Incremental change in climate and precipitation regime precipitation (increased extreme precipitation) increases the risk the occurrence of landslides, which results in the washing away of the upper f…"
"Uzbekistan","BTR",2024,"HazardPriority","[7294 • Adaptation priorities] Creation of green spaces on 600 thousand hectares of area - protective forest plantations as measures against desertification, drought, dust storms and rising temperatures;"
"Uzbekistan","BTR",2024,"HazardAction",NA
"Uzbekistan","BTR",2024,"HazardResult",NA
"Uzbekistan","BTR",2024,"SystemPriority","[7304 • Adaptation priorities] In 2023, a new financing system for the implementation of water-saving measures was adopted in agriculture in Uzbekistan. For clusters and farms, a 5-year preferential credit line with a two-year gra…"
"Uzbekistan","BTR",2024,"SystemAction",NA
"Uzbekistan","BTR",2024,"SystemResult",NA
"Vanuatu","BTR",2024,"HazardSystem","[4780 • System at risk] Rising sea levels, coastal erosion, and environmental degradation threaten beaches and dive sites, reducing the sector’s appeal."
"Vanuatu","BTR",2024,"HazardPriority","[4901 • Adaptation priorities] Repair and maintain airports post-cyclones; ensure backup power systems."
"Vanuatu","BTR",2024,"HazardAction",NA
"Vanuatu","BTR",2024,"HazardResult",NA
"Vanuatu","BTR",2024,"SystemPriority","[4896 • Adaptation priorities] Modify and elevate roads, use sandbags, and implement rapid clean-up responses."
"Vanuatu","BTR",2024,"SystemAction","[4808 • Action] The government has also promoted renewable energy initiatives like the National Green Energy Fund to enhance energy access, especially in rural areas."
"Vanuatu","BTR",2024,"SystemResult",NA
"Venezuela","BTR",2024,"HazardSystem","[7345 • System at risk] Extreme temperatures increase the incidence of stillbirths which, added to the variations in bioclimatic variables, favor the spread of diseases transmitted by vectors, such as malaria, dengue and Zik…"
"Venezuela","BTR",2024,"HazardPriority",NA
"Venezuela","BTR",2024,"HazardAction",NA
"Venezuela","BTR",2024,"HazardResult",NA
"Venezuela","BTR",2024,"SystemPriority",NA
"Venezuela","BTR",2024,"SystemAction",NA
"Venezuela","BTR",2024,"SystemResult",NA
"Zimbabwe","BTR",2024,"HazardSystem","[7440 • System at risk] Periods of intense rainfall leading to flooding, can also cause extensive damage to water infrastructure"
"Zimbabwe","BTR",2024,"HazardPriority",NA
"Zimbabwe","BTR",2024,"HazardAction",NA
"Zimbabwe","BTR",2024,"HazardResult",NA
"Zimbabwe","BTR",2024,"SystemPriority","[7510 • Adaptation priorities] Develop, implement and scale-up climate smart agriculture solutions and strengthen the resilience of agricultural value chains and markets"
"Zimbabwe","BTR",2024,"SystemAction",NA
"Zimbabwe","BTR",2024,"SystemResult",NA
